iter	Passed	Remaining
438	1290	1648
439	1292	1644
440	1294	1640
441	1296	1637
442	1299	1633
443	1302	1630
444	1304	1626
445	1306	1622
446	1308	1618
447	1310	1614
448	1312	1610
449	1314	1606
450	1317	1603
451	1319	1599
452	1321	1595
453	1322	1591
454	1324	1587
455	1327	1583
456	1329	1579
457	1332	1576
458	1334	1572
459	1336	1568
460	1338	1564
461	1340	1560
462	1342	1557
463	1345	1554
464	1347	1550
465	1349	1546
466	1351	1542
467	1353	1538
468	1355	1534
469	1356	1529
470	1358	1525
471	1360	1522
472	1362	1518
473	1364	1514
474	1366	1510
475	1368	1506
476	1369	1502
477	1371	1498
478	1373	1494
479	1375	1490
480	1377	1486
481	1379	1482
482	1381	1478
483	1384	1475
484	1386	1472
485	1388	1468
486	1390	1465
487	1393	1461
488	1394	1457
489	1397	1454
490	1398	1450
491	1400	1446
492	1402	1442
493	1405	1439
494	1407	1435
495	1409	1431
496	1411	1428
497	1413	1424
498	1414	1420
499	1416	1416
500	1420	1414
501	1422	1411
502	1425	1408
503	1427	1405
504	1430	1401
505	1432	1398
506	1434	1394
507	1436	1391
508	1438	1387
509	1440	1384
510	1442	1380
511	1444	1376
512	1446	1373
513	1448	1369
514	1451	1366
515	1454	1363
516	1456	1361
517	1459	1357
518	1461	1354
519	1463	1351
520	1466	1348
521	1468	1344
522	1470	1340
523	1472	1337
524	1474	1333
525	1477	1331
526	1481	1329
527	1484	1326
528	1486	1323
529	1488	1319
530	1491	1316
531	1494	1314
532	1497	1311
533	1499	1308
534	1501	1305
535	1504	1302
536	1506	1298
537	1509	1296
538	1512	1293
539	1514	1290
540	1517	1287
541	1519	1284
542	1521	1280
543	1524	1278
544	1527	1275
545	1529	1271
546	1531	1268
547	1534	1265
548	1536	1262
549	1539	1259
550	1541	1255
551	1543	1252
552	1545	1249
553	1547	1245
554	1549	1242
555	1552	1239
556	1555	1237
557	1558	1234
558	1560	1231
559	1562	1227
560	1565	1224
561	1567	1221
562	1570	1218
563	1572	1215
564	1574	1212
565	1576	1208
566	1578	1205
567	1580	1202
568	1583	1199
569	1585	1195
570	1587	1192
571	1589	1188
572	1590	1185
573	1593	1182
574	1596	1179
575	1598	1176
576	1600	1173
577	1601	1169
578	1603	1166
579	1605	1162
580	1608	1159
581	1611	1157
582	1615	1155
583	1617	1152
584	1619	1149
585	1622	1146
586	1625	1143
587	1628	1140
588	1630	1137
589	1632	1134
590	1635	1131
591	1636	1128
592	1641	1126
593	1643	1123
594	1645	1120
595	1647	1116
596	1649	1113
597	1651	1110
598	1654	1107
599	1656	1104
600	1658	1101
601	1660	1097
602	1662	1094
603	1664	1091
604	1667	1088
605	1670	1085
606	1672	1082
607	1674	1079
608	1677	1076
609	1679	1073
610	1682	1071
611	1685	1068
612	1687	1065
613	1689	1062
614	1692	1059
615	1694	1056
616	1696	1053
617	1699	1050
618	1701	1047
619	1704	1044
620	1707	1041
621	1709	1038
622	1711	1035
623	1714	1033
624	1716	1030
625	1719	1027
626	1721	1024
627	1723	1021
628	1726	1018
629	1728	1015
630	1731	1012
631	1733	1009
632	1735	1006
633	1737	1003
634	1739	1000
635	1741	996
636	1744	994
637	1747	991
638	1749	988
639	1751	985
640	1754	982
641	1757	980
642	1759	977
643	1762	974
644	1764	971
645	1766	967
646	1768	964
647	1770	961
648	1773	959
649	1775	956
650	1777	953
651	1779	950
652	1782	947
653	1784	944
654	1786	940
655	1789	938
656	1791	935
657	1793	932
658	1795	928
659	1796	925
660	1798	922
661	1800	919
662	1803	916
663	1805	913
664	1807	910
665	1809	907
666	1813	905
667	1815	902
668	1818	899
669	1820	896
670	1823	893
671	1825	891
672	1828	888
673	1830	885
674	1833	882
675	1835	879
676	1837	876
677	1839	873
678	1841	870
679	1844	867
680	1848	865
681	1851	863
682	1853	860
683	1856	857
684	1857	854
685	1860	851
686	1862	848
687	1865	845
688	1868	843
689	1870	840
690	1872	837
691	1875	834
692	1878	831
693	1880	829
694	1882	826
695	1884	823
696	1886	820
697	1888	817
698	1891	814
699	1893	811
700	1895	808
701	1897	805
702	1899	802
703	1901	799
704	1903	796
705	1906	793
706	1908	790
707	1910	788
708	1913	785
709	1917	783
710	1920	780
711	1923	778
712	1926	775
713	1928	772
714	1933	770
715	1936	768
716	1938	765
717	1941	762
718	1943	759
719	1946	757
720	1949	754
721	1952	751
722	1954	748
723	1957	746
724	1959	743
725	1964	741
726	1967	738
727	1969	735
728	1971	732
729	1974	730
730	1977	727
731	1979	724
732	1982	722
733	1985	719
734	1987	716
735	1990	713
736	1992	711
737	1995	708
738	1997	705
739	2000	702
740	2002	699
741	2006	697
742	2009	694
743	2011	692
744	2013	689
745	2016	686
746	2019	683
747	2021	681
748	2024	678
749	2026	675
750	2029	672
751	2031	669
752	2033	667
753	2038	665
754	2041	662
755	2044	659
756	2046	656
757	2048	654
758	2051	651
759	2053	648
760	2056	645
761	2059	643
762	2062	640
763	2063	637
764	2066	634
765	2068	631
766	2070	629
767	2073	626
768	2075	623
769	2077	620
770	2079	617
771	2082	614
772	2084	612
773	2086	609
774	2088	606
775	2090	603
776	2092	600
777	2096	598
778	2099	595
779	2101	592
780	2103	589
781	2105	587
782	2108	584
783	2111	581
784	2113	578
785	2116	576
786	2118	573
787	2120	570
788	2122	567
789	2126	565
790	2129	562
791	2131	559
792	2134	557
793	2136	554
794	2140	551
795	2142	549
796	2145	546
797	2147	543
798	2150	541
799	2152	538
800	2155	535
801	2158	532
802	2160	530
803	2162	527
804	2165	524
805	2167	521
806	2170	519
807	2173	516
808	2175	513
809	2177	510
810	2179	507
811	2181	505
812	2183	502
813	2186	499
814	2188	496
815	2190	493
816	2192	491
817	2194	488
818	2196	485
819	2198	482
820	2200	479
821	2202	477
822	2204	474
823	2206	471
824	2208	468
825	2210	465
826	2212	462
827	2215	460
828	2217	457
829	2219	454
830	2221	451
831	2222	448
832	2224	446
833	2226	443
834	2229	440
835	2231	437
836	2233	434
837	2235	432
838	2237	429
839	2238	426
840	2240	423
841	2242	420
842	2245	418
843	2247	415
844	2249	412
845	2251	409
846	2253	407
847	2255	404
848	2256	401
849	2259	398
850	2261	395
851	2263	393
852	2265	390
853	2267	387
854	2269	384
855	2271	382
856	2273	379
857	2276	376
858	2278	374
859	2280	371
860	2282	368
861	2285	365
862	2287	363
863	2290	360
864	2292	357
865	2294	355
866	2296	352
867	2298	349
868	2300	346
869	2303	344
870	2305	341
871	2307	338
872	2309	336
873	2311	333
874	2313	330
875	2320	328
876	2324	326
877	2328	323
878	2331	320
879	2334	318
880	2337	315
881	2340	313
882	2343	310
883	2345	307
884	2349	305
885	2351	302
886	2353	299
887	2356	297
888	2358	294
889	2360	291
890	2363	289
891	2366	286
892	2368	283
893	2370	281
894	2373	278
895	2375	275
896	2377	272
897	2380	270
898	2382	267
899	2384	264
900	2386	262
901	2388	259
902	2390	256
903	2393	254
904	2395	251
905	2397	248
906	2400	246
907	2402	243
908	2403	240
909	2405	237
910	2408	235
911	2410	232
912	2412	229
913	2414	227
914	2416	224
915	2417	221
916	2419	218
917	2421	216
918	2424	213
919	2426	211
920	2428	208
921	2429	205
922	2431	202
923	2433	200
924	2435	197
925	2437	194
926	2440	192
927	2442	189
928	2444	186
929	2446	184
930	2448	181
931	2449	178
932	2452	176
933	2454	173
934	2456	170
935	2458	168
936	2460	165
937	2461	162
938	2463	160
939	2466	157
940	2469	154
941	2470	152
942	2472	149
943	2474	146
944	2476	144
945	2478	141
946	2480	138
947	2482	136
948	2484	133
949	2486	130
950	2488	128
951	2489	125
952	2491	122
953	2493	120
954	2495	117
955	2497	114
956	2499	112
957	2501	109
958	2502	107
959	2504	104
960	2506	101
961	2508	99
962	2510	96
963	2512	93
964	2514	91
965	2516	88
966	2518	85
967	2520	83
968	2522	80
969	2524	78
970	2526	75
971	2528	72
972	2530	70
973	2532	67
974	2534	64
975	2535	62
976	2538	59
977	2539	57
978	2542	54
979	2544	51
980	2546	49
981	2548	46
982	2549	44
983	2551	41
984	2562	39
985	2566	36
986	2569	33
987	2572	31
988	2574	28
989	2576	26
990	2578	23
991	2580	20
992	2582	18
993	2583	15
994	2585	12
995	2588	10
996	2590	7
997	2591	5
998	2594	2
999	2596	0
